pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,19,2,78,2,,,,,204.23177163896617,205.21774740400724,205.21774740400724,205.21774740400724,205.21774740400724,205.2347642040113,206.22044095897581,206.22044095897581,c,1,0.28507119201822206,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,19,3,79,3,,,,,206.53798315196764,207.5240167179727,207.5240167179727,207.5240167179727,207.5240167179727,207.5408074699808,208.52679690200603,208.52679690200603,z,1,0.29825111402897164,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,20,0,80,0,,,,,208.84400091995485,209.83028611401096,209.83028611401096,209.83028611401096,209.83028611401096,209.8470427709981,210.83310160896508,210.83310160896508,x,1,0.2683818730292842,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,20,1,81,1,,,,,211.13367468200158,212.119635704963,212.119635704963,212.119635704963,212.119635704963,212.13637846999336,213.12224660196807,213.12224660196807,v,1,0.14377521199639887,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,20,2,82,2,,,,,213.2892486010096,214.2759498989908,214.2759498989908,214.2759498989908,214.2759498989908,214.29217536299257,215.27808345196536,215.27808345196536,c,1,0.2350943200290203,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,20,3,83,3,,,,,215.5455935309874,216.53144411800895,216.53144411800895,216.53144411800895,216.53144411800895,216.54797666700324,217.53395582997473,217.53395582997473,z,1,0.1931956050102599,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,21,0,84,0,,,,,217.75147521996405,218.7376284559723,218.7376284559723,218.7376284559723,218.7376284559723,218.7540798370028,219.7401427879813,219.7401427879813,x,1,0.18752318003680557,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,21,1,85,1,,,,,219.95737485500285,220.94336570700398,220.94336570700398,220.94336570700398,220.94336570700398,220.95986477995757,221.945910298964,221.945910298964,v,1,0.5619504800415598,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,21,2,86,2,,,,,222.53044467698783,223.5170321239857,223.5170321239857,223.5170321239857,223.5170321239857,223.53393115696963,224.51931017200695,224.51931017200695,c,1,0.3030087420484051,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,21,3,87,3,,,,,224.85345574998064,225.8396084269625,225.8396084269625,225.8396084269625,225.8396084269625,225.85650421399623,226.84259190695593,226.84259190695593,z,1,0.2205050850752741,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,22,0,88,0,,,,,227.09304537199205,228.07896622701082,228.07896622701082,228.07896622701082,228.07896622701082,228.09574389999034,229.0819733889657,229.0819733889657,x,1,0.2685132880578749,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,22,1,89,1,,,,,229.3824987199623,230.3688486419851,230.3688486419851,230.3688486419851,230.3688486419851,230.38551608700072,231.37142352899536,231.37142352899536,v,1,0.2597095850505866,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,22,2,90,2,,,,,231.65497205295833,232.64108596200822,232.64108596200822,232.64108596200822,232.64108596200822,232.65778281900566,233.64391811698442,233.64391811698442,c,1,0.2182799760485068,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,22,3,91,3,,,,,233.89440506097162,234.88024471799145,234.88024471799145,234.88024471799145,234.88024471799145,234.89756836398738,235.88301075197523,235.88301075197523,z,1,0.23535216500749812,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,23,0,92,0,,,,,236.15039265999803,237.13626693200786,237.13626693200786,237.13626693200786,237.13626693200786,237.15347226697486,238.13980745198205,238.13980745198205,x,1,0.2522114310413599,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,23,1,93,1,,,,,238.42329965496901,239.40944165695691,239.40944165695691,239.40944165695691,239.40944165695691,239.42587715998525,240.4118421690073,240.4118421690073,v,1,0.23536564299138263,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
